Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2025-09-18,NYSE American (A),5407737,43517608,8781654,57706999,285226680.020000,635081555.656800,368906970.257300,1289215205.934100,59698,120584,69691,249973
2025-09-18,NASDAQ BX (B),13138428,9745379,23503532,46387339,1078279483.339700,507784030.508400,1402547347.729000,2988610861.577100,206723,62809,261911,531443
2025-09-18,NYSE National (C),21115937,16603019,31058940,68777896,816230287.586500,698508643.330900,1096269949.789500,2611008880.706900,261320,109397,304912,675629
2025-09-18,FINRA / Nasdaq TRF Chicago (DB),13994841,9378809,36865933,60239583,766869376.207300,498598799.764100,2467703285.348000,3733171461.319400,99951,38441,219795,358187
2025-09-18,FINRA / NYSE TRF (DN),111083500,87307808,356379852,554771160,4785973836.795700,4479213632.321300,9486712877.907301,18751900347.024301,654319,198968,998310,1851597
2025-09-18,FINRA / Nasdaq TRF Carteret (DQ),2527959237,1796514567,5361478705,9685952509,120864845302.069326,82140365665.455154,201735920638.391475,404741131605.915955,17964784,5252417,23084342,46301543
2025-09-18,MIAX Pearl (H),32084924,65742152,129637750,227464826,1139838880.188500,3005539133.368100,3458354225.746501,7603732239.303101,296570,239610,570606,1106786
2025-09-18,EDGA Equities (J),22718078,32129263,101970177,156817518,1147026270.014800,1443415618.786400,1983356666.926200,4573798555.727400,348390,162251,544426,1055067
2025-09-18,EDGX Equities (K),147613045,194088683,562240231,903941959,7871883540.887502,10853336940.940197,21471259258.012308,40196479739.840007,1773518,1045918,3789708,6609144
2025-09-18,LTSE (L),333804,408372,666884,1409060,19430235.815000,17150652.148000,24864113.633100,61445001.596100,4477,2264,5809,12550
2025-09-18,NYSE Texas (M),25343712,13208023,30440726,68992461,1535796585.587200,2871540365.158900,5805930804.254999,10213267755.001099,29968,10475,35818,76261
2025-09-18,NYSE (N),1183451324,100698273,175168521,1459318118,69573857206.493300,6426923101.764498,7012312104.108406,83013092412.366204,6387101,524963,1507673,8419737
2025-09-18,NYSE Arca (P),263954581,575842554,1126064723,1965861858,14271849746.504799,43221391902.989189,45298831322.293497,102792072971.787485,3504699,2709381,8028830,14242910
2025-09-18,NASDAQ (Q),492270074,272162948,2029218951,2793651973,31569129224.940812,26543150916.154906,133953025923.263349,192065306064.359067,7812999,1883490,14129202,23825691
2025-09-18,Members Exchange (U),72825156,95830249,265839021,434494426,3693361796.826200,5284740943.038801,8650350292.114400,17628453031.979401,724054,410966,1223287,2358307
2025-09-18,Investors Exchange (V),209271844,93585455,252416823,555274122,10999026365.793102,5871610833.741899,12787722489.686403,29658359689.221404,2555142,440851,2471608,5467601
2025-09-18,NASDAQ PSX (X),6579336,5013669,11003799,22596804,512096456.320500,562394653.376000,765551228.756500,1840042338.453000,128065,27715,151392,307172
2025-09-18,BYX Equities (Y),35713146,33435573,63325019,132473738,1728481589.948700,1528227436.311901,2543722647.683800,5800431673.944401,459707,174082,586040,1219829
2025-09-18,BZX Equities (Z),185796694,166939286,320083154,672819134,11396344071.789593,15176906863.052899,20679337069.035606,47252588003.878098,2975473,963345,3664440,7603258
2025-09-17,NYSE American (A),7416649,41925994,8088460,57431103,370727859.600000,604022799.127200,451080754.719500,1425831413.446700,73808,120009,70618,264435
2025-09-17,NASDAQ BX (B),15195697,10236753,22103728,47536178,1146411924.269000,597020480.754700,1348622901.080900,3092055306.104600,223618,68083,254157,545858
2025-09-17,NYSE National (C),22648598,16589896,30005070,69243564,902766592.903900,722183174.187500,1070024022.541200,2694973789.632600,259940,106715,276524,643179
2025-09-17,FINRA / Nasdaq TRF Chicago (DB),14977666,8792736,37453218,61223620,778984908.774700,423846746.877200,2309735354.057101,3512567009.709001,95131,35672,197532,328335
2025-09-17,FINRA / NYSE TRF (DN),112960598,88006903,302582837,503550338,4450999612.221297,2826904793.805798,9149135731.491100,16427040137.518195,658148,203770,936673,1798591
2025-09-17,FINRA / Nasdaq TRF Carteret (DQ),2720803458,1837566688,4610018504,9168388650,124587457573.742754,99145433240.544014,198579714405.362481,422312605219.649249,17658683,5522278,21653067,44834028
2025-09-17,MIAX Pearl (H),37264570,88826154,121611264,247701988,1182257724.370600,4075308349.421901,3369024766.184702,8626590839.977203,319123,311347,545503,1175973
2025-09-17,EDGA Equities (J),30749812,31501493,65022692,127273997,1264656445.595400,1570398909.963900,1921454456.669700,4756509812.229000,391373,163662,509390,1064425
2025-09-17,EDGX Equities (K),168555105,204220547,544924000,917699652,8096788456.834998,11976751553.505301,20419115380.550598,40492655390.890897,1892392,1189010,4069486,7150888
