Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
12/29/23,NYSE American (A),6487066,21152326,6294308,33933700,224552725.1,345853816.1,267905009.1,838311550.3,91363,65789,76478,233630
12/29/23,NASDAQ BX (B),8975488,10066928,15149437,34191853,449996909.6,677415750.4,696502052.8,1823914713,138998,51582,149297,339877
12/29/23,NYSE National (C),14727590,8562697,14756627,38046914,449932727.2,349625735.3,402293291.5,1201851754,274096,47795,193188,515079
12/29/23,FINRA / Nasdaq TRF Chicago (DB),3910057,2393651,11251699,17555407,128345365.1,109521985.3,749941112.3,987808462.7,19443,8554,54110,82107
12/29/23,FINRA / NYSE TRF (DN),46455569,35019140,230655923,312130632,1161100267,1568957109,3555858891,6285916267,253038,117550,563618,934206
12/29/23,FINRA / Nasdaq TRF Carteret (DQ),1166052659,832178611,2196646235,4194877505,49316966814,58958738364,90813727594,1.99089E+11,8246173,2606691,9283589,20136453
12/29/23,MIAX Pearl (H),51383029,61302298,75387300,188072627,1159824919,2750000311,1950451219,5860276450,453900,256130,444775,1154805
12/29/23,EDGA Equities (J),77534661,62171264,75720333,215426258,1862077094,2361492986,2443107133,6666677214,804793,273577,707057,1785427
12/29/23,EDGX Equities (K),160194967,119811664,472499454,752506085,4493456088,7092693548,11806540571,23392690207,1280499,548096,1845424,3674019
12/29/23,LTSE (L),109224,157228,28022,294474,613974.47,5948676.62,8468922.11,15031573.2,200,391,226,817
12/29/23,NYSE Chicago (M),7883190,16945836,14971292,39800318,858601941.2,4167861752,2533146669,7559610361,65839,6032,68995,140866
12/29/23,NYSE (N),871765117,46197356,99187577,1017150050,43357036963,3534344340,3571650296,50463031599,2666518,172492,525580,3364590
12/29/23,NYSE Arca (P),139659046,346358491,694162652,1180180189,5215860897,24239696395,12403884308,41859441599,1601657,1382471,2689732,5673860
12/29/23,NASDAQ (Q),313324065,187605116,1123757252,1624686433,13880657510,17058821226,56700255460,87639734196,4677384,1168151,6804639,12650174
12/29/23,Members Exchange (U),90515845,56014501,178415417,324945763,2876876744,3402040337,5005215048,11284132129,1003407,300479,1059912,2363798
12/29/23,Investors Exchange (V),69642463,28269751,73773149,171685363,3478228743,3519159312,3716639408,10714027464,1111801,164312,940546,2216659
12/29/23,NASDAQ PSX (X),5862575,7337760,10541513,23741848,276481478.8,760481493.7,562384464.4,1599347437,108333,36619,98045,242997
12/29/23,BYX Equities (Y),29895897,27903216,50429880,108228993,715024532.3,1843290444,1133663110,3691978087,287916,115856,297524,701296
12/29/23,BZX Equities (Z),129735256,103087191,296586587,529409034,5394171555,7822541455,9132771051,22349484061,1805696,521305,1795636,4122637
12/28/23,NYSE American (A),4516752,18225270,4392594,27134616,154964017.1,281419468.5,173159273,609542758.7,65041,56366,52739,174146
12/28/23,NASDAQ BX (B),8304638,8495038,12696433,29496109,408926817.8,543516853.6,553366416,1505810087,131070,43775,141764,316609
12/28/23,NYSE National (C),13544148,8649636,11353819,33547603,413179341.8,279602104.1,318174728.4,1010956174,245230,41526,163730,450486
12/28/23,FINRA / Nasdaq TRF Chicago (DB),3707223,1921554,10823519,16452296,124086219.8,81309394.51,606792533.2,812188147.6,17889,6627,49334,73850
12/28/23,FINRA / NYSE TRF (DN),39526505,32253214,229482613,301262332,1034507369,1309540760,4314647879,6658696008,230024,108659,517676,856359
12/28/23,FINRA / Nasdaq TRF Carteret (DQ),1040378223,694086327,2164832598,3899297148,45029284692,47151335632,82987742901,1.75168E+11,7917679,2598283,9009284,19525246
12/28/23,MIAX Pearl (H),41902321,48082674,72413925,162398920,1034349993,1939339032,1533853080,4507542105,363843,193565,414985,972393
12/28/23,EDGA Equities (J),60083347,40118118,59026034,159227499,1591899270,1479008794,1818906993,4889815057,694890,185048,584105,1464043
12/28/23,EDGX Equities (K),142996054,94811455,459552361,697359870,4368233701,5148874063,10775550615,20292658379,1182197,462784,1887089,3532070
12/28/23,LTSE (L),75042,195416,105859,376317,703945,5958279.56,855833.3215,7518057.882,108,363,468,939
12/28/23,NYSE Chicago (M),12396721,30034429,9376517,51807667,875678855.4,5322678455,1596344746,7794702057,59109,5590,60938,125637
12/28/23,NYSE (N),662416240,39587883,80913229,782917352,32813703286,2678035100,3120445709,38612184094,2494217,149461,505304,3148982
12/28/23,NYSE Arca (P),127233925,294426987,616996584,1038657496,5003289189,19010656172,11189682197,35203627558,1485689,1176208,2801398,5463295
12/28/23,NASDAQ (Q),288395009,144225113,972884767,1405504889,13206913959,11408446702,44828910315,69444270976,4334728,897460,6341551,11573739
12/28/23,Members Exchange (U),82158526,44969774,164357179,291485479,2793150131,2396509392,4190534072,9380193595,941828,247470,1001734,2191032
12/28/23,Investors Exchange (V),68744805,23241855,70103670,162090330,3645037511,1616206582,3599938666,8861182760,1101796,141987,932877,2176660
12/28/23,NASDAQ PSX (X),4625286,5879250,7394425,17898961,204655096.3,446251656.3,420075477.2,1070982230,89871,29469,86772,206112
12/28/23,BYX Equities (Y),26113433,24024471,37758112,87896016,673686612.8,1093196683,910339231.6,2677222527,261292,93527,265327,620146
12/28/23,BZX Equities (Z),116403983,86151905,276804337,479360225,5108328433,6062669861,7587612883,18758611177,1690979,442917,1709091,3842987
12/27/23,NYSE American (A),4285935,16432965,4988326,25707226,143583684.7,287306197.6,162700042,593589924.3,59196,59733,50641,169570
12/27/23,NASDAQ BX (B),9101240,9212434,16227012,34540686,450486319.9,521298607.2,664683977.3,1636468904,152961,45749,160009,358719
12/27/23,NYSE National (C),12132178,7108400,13584889,32825467,337092254.5,257667492.9,335279116.2,930038863.7,215424,39614,160734,415772
12/27/23,FINRA / Nasdaq TRF Chicago (DB),3916168,2094912,10838808,16849888,119649845.4,87940552.43,680379336.3,887969734.2,17808,7045,47729,72582
12/27/23,FINRA / NYSE TRF (DN),42206914,30317947,423346413,495871274,1027483360,1202058780,5464408481,7693950620,236188,106714,499579,842481
12/27/23,FINRA / Nasdaq TRF Carteret (DQ),1072154628,737507099,3103629477,4913291204,47490502741,43495463327,84512910804,1.75499E+11,7920756,2374524,9041236,19336516
12/27/23,MIAX Pearl (H),46549948,49337331,90081132,185968411,1074147111,1941534730,1721959584,4737641425,420664,183728,432876,1037268
12/27/23,EDGA Equities (J),60157638,40025507,71959170,172142315,1525026899,1616573544,1934598465,5076198909,705447,199428,631642,1536517
12/27/23,EDGX Equities (K),142760237,106056411,746839106,995655754,4432660981,5794400500,11575180392,21802241872,1221114,503937,1904619,3629670
12/27/23,LTSE (L),288935,384471,61922,735328,1315575.13,9843605.6,7112575.21,18271755.94,267,301,397,965
12/27/23,NYSE Chicago (M),11867919,11778006,15102055,38747980,854773918.7,2105380737,2304855473,5265010129,61310,5445,59996,126751
12/27/23,NYSE (N),665912475,42565945,100558166,809036586,35296367790,3075740964,3213189226,41585297981,2567653,161616,543963,3273232
12/27/23,NYSE Arca (P),127835933,310936798,1133159362,1571932093,5057843954,21208353059,12064317880,38330514893,1516257,1245161,2793240,5554658
12/27/23,NASDAQ (Q),294376855,158407224,1149875768,1602659847,13506621321,12682113875,50205661539,76394396735,4489206,994810,6655191,12139207
12/27/23,Members Exchange (U),84914299,50147363,269747252,404808914,2842620384,2764695044,4710036784,10317352212,981125,281995,1067433,2330553
12/27/23,Investors Exchange (V),68789748,23615266,77508938,169913952,3531651750,1677943298,3619267862,8828862910,1051276,150842,905771,2107889
12/27/23,NASDAQ PSX (X),4912993,6214652,9775400,20903045,225410186.2,535917971.4,452178289.8,1213506447,98503,33593,93434,225530
12/27/23,BYX Equities (Y),24521410,23652241,58747028,106920679,650101187.5,1211581394,958630110.9,2820312693,265117,93127,291578,649822
12/27/23,BZX Equities (Z),119210964,95505528,390992383,605708875,5144403110,6694129452,8378197589,20216730151,1777193,503163,1877443,4157799
12/26/23,NYSE American (A),4356209,14688649,4571408,23616266,148724253.1,215448785.4,148877041.4,513050079.8,59191,51490,46627,157308
12/26/23,NASDAQ BX (B),7685818,6093429,14215349,27994596,371541042.2,349708527.6,462400650.4,1183650220,132537,34615,127660,294812
12/26/23,NYSE National (C),11713158,5230686,12886431,29830275,332789389.5,186453150.1,298881636.9,818124176.5,225832,33396,152196,411424
12/26/23,FINRA / Nasdaq TRF Chicago (DB),4283145,1868321,10654986,16806452,131132486.3,83173473.26,516539429.4,730845388.9,19815,7430,44969,72214
12/26/23,FINRA / NYSE TRF (DN),41664406,29877379,341019148,412560933,1043046420,930820257,3055832263,5029698940,240440,106481,466540,813461
12/26/23,FINRA / Nasdaq TRF Carteret (DQ),1027058145,606960557,2578352197,4212370899,48567588374,35638983477,76761290966,1.60968E+11,7567640,2267006,8547103,18381749
12/26/23,MIAX Pearl (H),42855857,35539895,89195631,167591383,973432178.3,1503062655,1393674604,3870169437,398290,147895,385627,931812
12/26/23,EDGA Equities (J),51316508,31732787,62291998,145341293,1312463028,1229622868,1633496899,4175582795,634398,162055,568995,1365448
12/26/23,EDGX Equities (K),139186707,81798353,556887623,777872683,4257068245,4434911162,9239217767,17931197175,1183690,428110,1716849,3328649
12/26/23,LTSE (L),21510,111584,24050,157144,1689718.22,6020198.75,1079911.36,8789828.33,199,207,293,699
12/26/23,NYSE Chicago (M),14756692,11706699,11829628,38293019,1020228380,2430546666,1916695266,5367470313,63040,6008,61650,130698
12/26/23,NYSE (N),591368338,32756539,106721824,730846701,28628625507,2389689115,2567689381,33586004003,2264506,129684,471071,2865261
12/26/23,NYSE Arca (P),113207817,227509021,980815309,1321532147,4484109924,15071482598,8945252304,28500844826,1376562,1006813,2460246,4843621
