Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2021-06-09,NYSE (N),941854296,31058578,66052784,1038965658,45446312838.960900,2404255230.118600,2859110365.489201,50709678434.568701,3641299,114489,460318,4216106
2021-06-09,NYSE Arca (P),287208457,205606968,455470949,948286374,11967354707.680302,14993999118.595690,15962775608.888302,42924129435.164294,2686414,939280,3418573,7044267
2021-06-09,NASDAQ (Q),495302954,124736566,1150639090,1770678610,24380812488.744397,9969966702.463995,53680705408.714799,88031484599.923191,5458058,801095,8434545,14693698
2021-06-09,Members Exchange (U),107530259,32598536,128355705,268484500,3008294503.958000,1546918968.827201,2546199468.623400,7101412941.408601,961779,167235,868830,1997844
2021-06-09,Investors Exchange (V),139015561,18438318,108973500,266427379,7787267230.234102,1211227048.523300,6821650668.633902,15820144947.391304,1517465,136072,1269934,2923471
2021-06-09,NASDAQ PSX (X),26605296,14048005,25328399,65981700,741700048.729600,1199317878.900700,1286614600.068500,3227632527.698800,175217,71074,188053,434344
2021-06-09,BYX Equities (Y),63656096,27625270,51812523,143093889,2223684087.342300,2019859499.790300,2046314286.058500,6289857873.191100,650482,163799,551440,1365721
2021-06-09,BZX Equities (Z),190599520,79718065,184176674,454494259,8778069026.267500,6725332591.073098,9749085047.143400,25252486664.483998,2109266,510022,1995660,4614948
2021-06-08,NYSE American (A),15044655,30734238,9091756,54870649,497045221.740000,586688136.025100,445828637.574100,1529561995.339200,163353,110394,104688,378435
2021-06-08,NASDAQ BX (B),28722185,11305978,36285906,76314069,1328654592.977300,1004472856.713900,1783205459.816400,4116332909.507600,374523,82990,438539,896052
2021-06-08,NYSE National (C),56826252,20266331,33220342,110312925,1600583919.845500,1033132098.957500,1033505915.140800,3667221933.943800,576183,113385,376272,1065840
2021-06-08,FINRA / Nasdaq TRF Chicago (DB),9030067,2538833,19775535,31344435,413007680.282800,77960803.019300,736691985.738200,1227660469.040300,51048,8437,82411,141896
2021-06-08,FINRA / NYSE TRF (DN),305656014,132977000,668905376,1107538390,10875355724.893797,4201245322.165999,16957375579.366700,32033976626.426496,1681829,315811,2405464,4403104
2021-06-08,FINRA / Nasdaq TRF Carteret (DQ),1589788749,503543044,2312346604,4405678397,69283550955.426813,26611380982.994499,80334470067.363937,176229402005.785249,7670235,1599703,8602689,17872627
2021-06-08,MIAX Pearl (H),10291083,6832446,11827173,28950702,524010805.996900,429616740.543600,724743135.382600,1678370681.923100,130603,32963,130002,293568
2021-06-08,EDGA Equities (J),66984085,25376598,63988711,156349394,3423385803.573200,1710577229.376300,3192215035.130600,8326178068.080100,999498,214689,932075,2146262
2021-06-08,EDGX Equities (K),317877726,99201407,456773095,873852228,12307511497.721496,5323748854.663401,15697797463.490698,33329057815.875595,2450803,510217,2820796,5781816
2021-06-08,LTSE (L),41277,201,188505,229983,2048841.730000,8455.910000,2569839.800000,4627137.440000,42,4,152,198
2021-06-08,NYSE Chicago (M),2575174,2227031,2310047,7112252,185718634.090000,199334321.335000,225124784.774700,610177740.199700,10411,2579,9650,22640
2021-06-08,NYSE (N),940144473,31926099,75312861,1047383433,47857354963.859592,2625822369.405400,3214874714.499800,53698052047.764792,3902836,125767,521200,4549803
2021-06-08,NYSE Arca (P),287365254,228685650,507124998,1023175902,12677418965.889202,16129580228.348905,19384852063.053612,48191851257.291719,2879163,1048343,3817403,7744909
2021-06-08,NASDAQ (Q),489759022,137584262,1232544775,1859888059,26198105125.624304,11176061362.778799,62569421442.195517,99943587930.598620,5817801,897856,9060110,15775767
2021-06-08,Members Exchange (U),110475676,38599663,128689114,277764453,3263162478.919700,1641371392.455400,2967506136.614499,7872040007.989599,993926,196720,960950,2151596
2021-06-08,Investors Exchange (V),145564771,18637991,120513596,284716358,8382291501.187800,1288431762.764300,7959053232.016699,17629776495.968799,1715705,141168,1466826,3323699
2021-06-08,NASDAQ PSX (X),27998110,15331403,27439621,70769134,755592383.337300,1280511924.599100,1411614366.417300,3447718674.353700,183120,79870,216085,479075
2021-06-08,BYX Equities (Y),61164734,28158931,60002076,149325741,2272822484.524400,2139302968.027500,2314069814.247500,6726195266.799400,681027,170340,639473,1490840
2021-06-08,BZX Equities (Z),194319834,89132350,192079078,475531262,9290045344.226801,7431036598.142700,10866385498.690196,27587467441.059697,2288083,566220,2149405,5003708
2021-06-07,NYSE American (A),14274198,35413286,9580334,59267818,539988691.485000,636990632.724200,515841289.752200,1692820613.961400,180885,135086,125549,441520
2021-06-07,NASDAQ BX (B),29359048,12110538,28025572,69495158,1380560294.486800,955013024.340300,1780631703.639900,4116205022.467000,379758,82793,394132,856683
2021-06-07,NYSE National (C),55263793,21113245,32712170,109089208,1570006122.512300,1046165077.541100,1044626623.513200,3660797823.566600,575379,120419,402316,1098114
2021-06-07,FINRA / Nasdaq TRF Chicago (DB),8932154,2967837,14799729,26699720,377064533.253500,101387365.923200,678961127.107200,1157413026.283900,48804,9118,63917,121839
2021-06-07,FINRA / NYSE TRF (DN),290969023,138461236,486557906,915988165,10788161807.894397,4526012351.441401,13517096303.604107,28831270462.939905,1691275,351966,1823080,3866321
2021-06-07,FINRA / Nasdaq TRF Carteret (DQ),1537355519,604791875,1791504643,3933652037,68654664568.731073,30615628251.890910,70986828317.954597,170257121138.576580,7776000,1799622,7314288,16889910
2021-06-07,MIAX Pearl (H),8435262,5870412,10452353,24758027,435942924.176000,387356041.743700,728435525.651300,1551734491.571000,108488,31754,113518,253760
2021-06-07,EDGA Equities (J),66102996,26326188,56369162,148798346,3220696280.559700,1726570981.598600,3099186615.814800,8046453877.973100,928541,212153,856337,1997031
2021-06-07,EDGX Equities (K),305050000,108253542,341350274,754653816,11668448148.084205,5123413949.669600,13523697332.072104,30315559429.825909,2346899,540923,2323002,5210824
2021-06-07,LTSE (L),882,0,7939,8821,1040046.840000,0.000000,710503.430000,1750550.270000,26,0,120,146
2021-06-07,NYSE Chicago (M),1939775,1298723,1858285,5096783,131111592.215000,69329447.930000,211872094.714000,412313134.859000,8756,1121,9169,19046
2021-06-07,NYSE (N),887006041,31112116,67710573,985828730,45605685896.474992,2600540682.198700,3178560899.670300,51384787478.343992,3717087,131565,487298,4335950
2021-06-07,NYSE Arca (P),282612017,241859838,352477327,876949182,12897028211.156400,16989846550.404902,17513196592.529705,47400071354.091007,2842006,1103953,3079762,7025721
2021-06-07,NASDAQ (Q),478797305,137286685,965845216,1581929206,25301455367.495497,11100883502.057905,58519778741.946720,94922117611.500122,5524838,921537,7948172,14394547
2021-06-07,Members Exchange (U),122990622,43173387,142299002,308463011,3637127607.350399,1869797585.715900,3247022552.549200,8753947745.615499,1138587,229836,1077583,2446006
2021-06-07,Investors Exchange (V),133199175,20606288,107245802,261051265,7914993845.248299,1464225915.060700,7784962667.320401,17164182427.629400,1549297,151064,1377930,3078291
2021-06-07,NASDAQ PSX (X),24515650,15187875,24706606,64410131,738071548.649400,1344381119.455200,1559937452.965200,3642390121.069800,185316,82101,214958,482375
2021-06-07,BYX Equities (Y),62632576,29196792,51733227,143562595,2407154542.225500,2001817940.960700,2288080438.129000,6697052921.315200,704112,172465,580531,1457108
