quarter,year,tier,ats_name,total_trades,total_shares,mpid
1,2024,nms,DEALERWEB,4044.00,832977132.00,DLTA
1,2024,nms,LIQUIDNET H2O ATS,70638.00,742296050.00,LQNA
1,2024,nms,INSTINET BLOCKCROSS,62197.00,679070688.00,BLKX
1,2024,nms,BNPP CORTEX ATS,6926472.00,662465481.00,BNPX
1,2024,nms,CBX,7289472.00,653865145.00,ICBX
1,2024,nms,CITI-ONE ATS,7189801.00,649882159.00,ONEC
1,2024,nms,LIQUIDNET NEGOTIATION ATS,10971.00,293528150.00,LQNT
1,2024,nms,LUMINEX ATS,9147.00,232661566.00,LMNX
1,2024,nms,CODA,1768973.00,199495292.00,CODA
1,2024,nms,STIFEL X,96942.00,13536989.00,STFX
1,2024,nms,IBKR EOS ATS,48843.00,10499757.00,IEOS
2,2024,nms,UBS ATS,169933533.00,13563048058.00,UBSA
2,2024,nms,INTELLIGENT CROSS LLC,148612905.00,11170426144.00,INCR
2,2024,nms,SIGMA X2,125655437.00,8818457869.00,SGMT
1,2023,otc,OTC LINK NQB IDQS,700003.00,13005202888.00,OTCN
1,2023,otc,OTC LINK ECN ATS,941757.00,5609026528.00,OTCX
1,2023,otc,GLOBAL OTC,1477987.00,569633403.00,ARCA
1,2023,otc,"TZERO ATS, LLC",3983.00,1120112.00,PROS
1,2023,otc,"VARIABLE INVESTMENT ADVISORS, INC.",29.00,387500.00,VIAT
1,2023,otc,"REALTO SECURITIES, LLC",72.00,282938.00,ALTS
1,2023,otc,NORTH CAPITAL PRIVATE SECURITIES CORPORATION,41569.00,267510.00,PPEX
1,2023,otc,"FNC AG STOCK, LLC",76.00,84340.00,FNCA
1,2023,otc,SECURITIZE MARKETS ATS,448.00,70564.00,SMKT
1,2023,otc,LEX,51.00,92.00,LEXA
2,2024,nms,MS POOL (ATS-4),34326922.00,6464783746.00,MSPL
2,2024,nms,LEVEL ATS,225198363.00,6131453051.00,EBXL
2,2024,nms,INSTINCT X,40065492.00,5357334477.00,MLIX
2,2024,nms,JPM-X,48302313.00,5043293122.00,JPMX
2,2024,nms,MS TRAJECTORY CROSS (ATS-1),14954379.00,3395162706.00,MSTX
2,2024,nms,THE BARCLAYS ATS,26577347.00,3028292147.00,LATS
2,2024,nms,BIDS ATS,2457178.00,2353142372.00,BIDS
2,2024,nms,IBKR ATS,11649285.00,2204301375.00,IATS
2,2024,nms,VIRTU MATCHIT ATS,23484324.00,2188094618.00,KCGM
2,2024,nms,PURESTREAM,51227343.00,1928343416.00,PURE
2,2024,nms,BOATS,13197376.00,1609605960.00,BLUE
2,2024,nms,CROSSSTREAM,3984375.00,1378716216.00,XSTM
2,2024,nms,POSIT,2751850.00,1095969346.00,ITGP
2,2024,nms,JPB-X,6941609.00,1079918492.00,JPBX
2,2024,nms,ONECHRONOS,10354974.00,1043127479.00,CGXS
2,2024,nms,MS RPOOL (ATS-6),9707528.00,1041092348.00,MSRP
2,2024,nms,LIQUIDNET H2O ATS,95965.00,842583913.00,LQNA
2,2024,nms,CITI-ONE ATS,10641661.00,829626127.00,ONEC
2,2024,nms,CBX,11928046.00,710299477.00,ICBX
2,2024,nms,DEALERWEB,3761.00,676495991.00,DLTA
2,2024,nms,INSTINET BLOCKCROSS,59276.00,648043836.00,BLKX
2,2024,nms,BNPP CORTEX ATS,7066813.00,632320327.00,BNPX
2,2024,nms,LIQUIDNET NEGOTIATION ATS,12243.00,329663810.00,LQNT
2,2024,nms,CODA,1889782.00,211973982.00,CODA
2,2024,nms,LUMINEX ATS,7968.00,205267242.00,LMNX
2,2024,nms,IBKR EOS ATS,84376.00,21810469.00,IEOS
2,2024,nms,STIFEL X,126741.00,15745201.00,STFX
