quarter,year,tier,ats_name,total_trades,total_shares,mpid
3,2022,tier1,LUMINEX ATS,4344.00,118724524.00,LMNX
3,2022,tier1,PURESTREAM,7323965.00,87202722.00,PURE
3,2022,tier1,BOATS,111653.00,5127789.00,BLUE
3,2022,tier1,AQUA,333.00,3293800.00,AQUA
3,2022,tier1,XE,178.00,2257076.00,PJCX
3,2022,tier1,ONECHRONOS,6692.00,975889.00,CGXS
3,2022,tier1,STIFEL X,1782.00,201858.00,STFX
4,2022,tier1,UBS ATS,81220197.00,6492761854.00,UBSA
4,2022,tier1,SIGMA X2,56718800.00,5110328228.00,SGMT
4,2022,tier1,INTELLIGENT CROSS LLC,45686025.00,3842001934.00,INCR
1,2024,otc,OTC LINK NQB IDQS,728247.00,18225949235.00,OTCN
1,2024,otc,OTC LINK ECN ATS,734571.00,1146064941.00,OTCX
1,2024,otc,GLOBAL OTC,1305835.00,498996322.00,ARCA
